OBJECTID,REFNUM,SignificantName,OtherName,Location,StreetIndex,County,Architect,Builder,BeginYear,EndYear,SurveyType,SurveyDate,PIN,GlobalID,x,y,Reference Number,Url_img,Item ID,URL
55065,200522,"Glessner, John J., House", ,1800 S. Prairie Ave.,"Prairie, S",Cook,"Richardson, Henry Hobson",Norcross Brothers,1885,1887,National Register Application,3/17/72,,b61e9b13-3c3f-4980-b703-f16bc745ec7b,-9753928.071,5139673.62,200522,,31d836f01626412593a4f19fcb948cdd,https://idnr.maps.arcgis.com/sharing/rest/content/items/31d836f01626412593a4f19fcb948cdd/data
55066,200527,Rookery Building, ,209 S. LaSalle St.,"LaSalle, S",Cook,Burnham & Root, ,1888,1888,Chicago Historic Resources Survey,1983-1994,,fccdafb8-b506-44a1-a9ed-0520c8066773,-9755158.628,5142882.325699999,200527,,0840130861704ab2ab9417fb33625afe,https://idnr.maps.arcgis.com/sharing/rest/content/items/0840130861704ab2ab9417fb33625afe/data
55068,200671,Leiter II Building,"Sears, Roebuck & Co.",NE corner of S. State and E. Congress Sts.,"State, S",Cook,"Jenney, William Le Baron", ,1889,1891,Structures,1971-1975,,26f703f8-9a3e-41f5-ad22-ba3fb2274d7b,-9754632.649,5142482.411099999,200671,,c491fa124768499288c63463e54bb563,https://idnr.maps.arcgis.com/sharing/rest/content/items/c491fa124768499288c63463e54bb563/data
55069,200765,Marquette Building, ,140 S. Dearborn St.,"Dearborn, S",Cook,Holabird & Roche, ,1895,1895,National Register Application,Jun-73,,0e9cc439-66b6-4a14-88a7-b21e9b52959b,-9754877.847,5143019.127800005,200765,,26c5939a454b4cddb1416c98214cd39c,https://idnr.maps.arcgis.com/sharing/rest/content/items/26c5939a454b4cddb1416c98214cd39c/data
55071,200711,Old Colony Building, ,407 S. Dearborn St.,"Dearborn, S",Cook,Holabird & Roche, ,1893,1894,Structures,1971-1975,,5054fdb5-c6d7-4397-b52d-2ecff0b1babc,-9754793.624,5142481.207599999,200711,,dedb48a7b91e478b9b605757630d123b,https://idnr.maps.arcgis.com/sharing/rest/content/items/dedb48a7b91e478b9b605757630d123b/data
55072,200789,Chicago Savings Bank Building, ,7 W. Madison St.,"Madison, W",Cook,Holabird & Roche, ,1905,1905,National Register Application,6/4/74,,9eab8038-9394-4078-bf61-f8e02bfa1474,-9754745.838,5143289.239,200789,,f294cd14d40b4cce952cddb9385626ee,https://idnr.maps.arcgis.com/sharing/rest/content/items/f294cd14d40b4cce952cddb9385626ee/data
55074,200425,"Gauler, John, Houses", ,5917--5921 N. Magnolia Ave.,"Magnolia, N",Cook,"Griffin, Walter Burley", ,1909,1909,National Register Application,6/1/76,,aa8f5298-8615-488b-b84e-ef12c2586a88,-9758412.581,5159557.391799999,200425,,0e38de185ede4d44a678e30fdd827016,https://idnr.maps.arcgis.com/sharing/rest/content/items/0e38de185ede4d44a678e30fdd827016/data
55076,200503,"Chicago Public Library, Central Building", ,78 E. Washington St.,"Washington, E",Cook,"Coolidge, A. H.; Spencer, Robert C.", ,1897,1897,National Register Application,3/10/72,,378567e0-36cd-4192-9323-812c6eb2612a,-9754368.209,5143602.081799997,200503,,224ef25705dc4295ae164a6f69e29816,https://idnr.maps.arcgis.com/sharing/rest/content/items/224ef25705dc4295ae164a6f69e29816/data
55077,200504,"Heller, Isadore H., House", ,5132 S. Woodlawn Ave.,"Woodlawn, S",Cook,"Wright, Frank Lloyd", ,1897,1897,National Register Application,12/1/70,,cbc50c8d-32b3-4384-b246-e2dc2dba51d8,-9750813.849,5131293.068000001,200504,,ac4bb6f74c244d7bb1c706297bb8681d,https://idnr.maps.arcgis.com/sharing/rest/content/items/ac4bb6f74c244d7bb1c706297bb8681d/data
55078,200523,"Madlener, Albert F., House", ,4 W. Burton St.,"Burton, W",Cook,"Schimdt, Richard Ernest & Associates; Garden, Hugh M. G.", ,1902,1902,Structures,1971-1975,,49fed311-12cd-439d-bbdf-b1d4670bf53f,-9754816.502,5147451.380500003,200523,,242fc971cbe5431e80d53c04a09cbc4b,https://idnr.maps.arcgis.com/sharing/rest/content/items/242fc971cbe5431e80d53c04a09cbc4b/data
55079,200525,Monadnock Block,Monadnock/Kearsarge,53 W. Jackson Blvd.,"Jackson, W",Cook,Burnham & Root, ,1891,1891,National Register Application,11/19/69,,3c41a867-1d2b-44ae-b4ac-58cfed4cd4bb,-9754862.161,5142722.891699996,200525,,025cc58bc40044859219411f04854822,https://idnr.maps.arcgis.com/sharing/rest/content/items/025cc58bc40044859219411f04854822/data
